,id,ra,end,inicio,fim,tipo,motivo,end_completo,geo,point,lat,lon
0,0,Park Way,SMPW Q 07,25/09/2024 às 12h00,25/09/2024 às 19h00,Não programada,Manutenção do Sistema Distribuidor,"SMPW Q 07, Park Way, DF, BRAZIL","SMPW Quadra 26 Conjunto 11 Lote 07, Park Way Quadra 26, Park Way, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, 71741-103, Brasil","(-15.8965766, -47.9544518, 0.0)",-15.8965766,-47.9544518
1,1,São Sebastião,"CE, JOÃO CANDIDO, STR, B BOPNSUCESSO CJ 01 AO 04, S BARTOLO, RES. OESTE 101, 102, 103, 201 E 301",25/09/2024 às 11h05,26/09/2024 às 09h00,Não programada,Manutenção do Sistema Distribuidor,"CE, JOÃO CANDIDO, STR, B BOPNSUCESSO CJ 01 AO 04, S BARTOLO, RES. OESTE 101, 102, 103, 201 E 301, São Sebastião, DF, BRAZIL",,,,
